Rank,Favorecido,CPF/CNPJ,Empenhos,Anulacoes,Valor Liquido,_valor,Valor Bruto,_valor_bruto,_doc
1,FOLHA DE PAGAMENTO,18.668.624/0001-47,486,0,"R$ 12.303.417,88",12303417.88,"R$ 12.303.417,88",12303417.88,18668624000147
2,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,16,2,"R$ 4.017.925,15",4017925.15,"R$ 4.990.333,78",4990333.78,22830020000122
3,COLINA TRANSPORTES LTDA,11.347.806/0001-77,11,5,"R$ 2.030.203,93",2030203.93,"R$ 3.913.917,38",3913917.38,11347806000177
4,SULINO TRANSPORTES LTDA,04.478.299/0001-45,9,4,"R$ 1.742.309,35",1742309.35,"R$ 3.289.238,43",3289238.43,04478299000145
5,IPREM-INST. DE PREV. SERV.PUBLICOS MUN.MUZAMBINHO,10.810.342/0001-20,123,1,"R$ 1.440.399,35",1440399.35,"R$ 1.443.704,68",1443704.68,10810342000120
6,ERALDO TRANSPORTES LTDA,10.438.124/0001-07,7,2,"R$ 1.290.156,80",1290156.8,"R$ 1.869.431,88",1869431.88,10438124000107
7,TRANSPORTADORA SANTA RITA LTDA,11.274.588/0001-98,7,2,"R$ 1.187.487,44",1187487.44,"R$ 1.716.309,36",1716309.36,11274588000198
8,LINK CARD ADMINISTRADORA DE BENEFICIOS LTDA,12.039.966/0001-11,13,1,"R$ 1.127.995,87",1127995.87,"R$ 1.157.995,87",1157995.87,12039966000111
9,THV SANEAMENTO LTDA,08.571.302/0001-21,1,0,"R$ 993.000,00",993000.0,"R$ 993.000,00",993000.0,08571302000121
10,PIZA TRANSPORTES LTDA,11.298.332/0001-10,7,3,"R$ 966.553,60",966553.6,"R$ 1.418.614,40",1418614.4,11298332000110
11,CEMIG DISTRIBUICAO S/A,06.981.180/0001-16,31,2,"R$ 940.652,59",940652.59,"R$ 943.333,97",943333.97,06981180000116
12,CATANDUVA CONSTRUTORA E PRESTADORA DE SERVICO LTDA,55.053.541/0001-70,1,0,"R$ 665.000,00",665000.0,"R$ 665.000,00",665000.0,55053541000170
13,GRAFICA E EDITORA POSIGRAF LTDA,75.104.422/0008-82,2,0,"R$ 559.855,20",559855.2,"R$ 559.855,20",559855.2,75104422000882
14,SMALL DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA,02.044.526/0001-07,45,1,"R$ 511.990,00",511990.0,"R$ 522.897,00",522897.0,02044526000107
15,L&D ASSOCIADOS LTDA,46.259.341/0001-87,3,0,"R$ 466.099,60",466099.6,"R$ 466.099,60",466099.6,46259341000187
16,CISMARPA- CONSORCIO INTERMUNICIPAL DE SAUDE,01.990.521/0001-04,2,0,"R$ 440.390,28",440390.28,"R$ 440.390,28",440390.28,01990521000104
17,GIBIEL E GONCALVES LTDA - EPP,09.013.998/0001-33,1,0,"R$ 364.301,00",364301.0,"R$ 364.301,00",364301.0,09013998000133
18,CONSTRUTORA JGX LTDA,42.153.187/0001-03,1,0,"R$ 341.277,84",341277.84,"R$ 341.277,84",341277.84,42153187000103
19,AUTOMAQUINAS TRANSPORTES LTDA,58.076.409/0001-71,9,2,"R$ 319.575,57",319575.57,"R$ 417.327,36",417327.36,58076409000171
20,OSVALDO SALOMAO,20.781.463/0001-45,7,2,"R$ 311.855,38",311855.38,"R$ 451.864,84",451864.84,20781463000145
21,BUENO TRANSPORTES LTDA,35.688.954/0001-13,7,2,"R$ 284.486,84",284486.84,"R$ 412.087,92",412087.92,35688954000113
22,INSS - INSTITUTO NACIONAL SEGURO SOCIAL,29.979.036/0001-40,158,0,"R$ 283.745,50",283745.5,"R$ 283.745,50",283745.5,29979036000140
23,SUKOI ALIMENTOS LTDA,20.942.789/0001-07,50,0,"R$ 274.675,71",274675.71,"R$ 274.675,71",274675.71,20942789000107
24,SC MINAS TRANSPORTES LTDA.,35.294.771/0001-13,2,0,"R$ 272.895,00",272895.0,"R$ 272.895,00",272895.0,35294771000113
25,WELLINGTON ALVES PIZA,53.397.450/0001-26,6,3,"R$ 267.844,05",267844.05,"R$ 404.078,30",404078.3,53397450000126
26,PLANEJ ASSOCIADOS LTDA,04.284.336/0001-84,17,0,"R$ 261.962,40",261962.4,"R$ 261.962,40",261962.4,04284336000184
27,BSS SERVICOS MEDICOS LTDA,38.300.757/0001-73,9,2,"R$ 261.237,04",261237.04,"R$ 302.369,56",302369.56,38300757000173
28,TRANSPORTE NOSSA SENHORA DO ROSARIO LTDA,23.832.003/0001-97,7,2,"R$ 261.115,80",261115.8,"R$ 380.698,80",380698.8,23832003000197
29,CARLOS ROBERTO MARTINS DE OLIVEIRA,20.829.876/0001-52,7,3,"R$ 228.086,50",228086.5,"R$ 370.992,80",370992.8,20829876000152
30,PASEP,02.458.359/0001-32,48,0,"R$ 227.102,18",227102.18,"R$ 227.102,18",227102.18,02458359000132
31,AILTON PEREIRA DA SILVA,55.952.571/0001-18,7,2,"R$ 217.660,80",217660.8,"R$ 317.807,40",317807.4,55952571000118
32,VANILDA TRANSPORTES E TURISMO LTDA,34.647.671/0001-60,7,2,"R$ 207.030,30",207030.3,"R$ 294.120,36",294120.36,34647671000160
33,APAE - ASSOC. PAIS E AMIGOS DOS EXCEPCIONAIS,19.019.447/0001-30,14,1,"R$ 199.091,77",199091.77,"R$ 207.507,77",207507.77,19019447000130
34,CONSORCIO CEMIG SIM GD III,45.955.633/0001-91,24,0,"R$ 192.500,00",192500.0,"R$ 192.500,00",192500.0,45955633000191
35,REDE SOL FUEL DISTRIBUIDORA S/A,02.913.444/0012-04,41,0,"R$ 187.500,00",187500.0,"R$ 187.500,00",187500.0,02913444001204
36,ASILO SAO VICENTE DE PAULO DE MUZAMBINHO,17.910.472/0001-84,5,0,"R$ 187.131,76",187131.76,"R$ 187.131,76",187131.76,17910472000184
37,ASSOCIACAO INSTITUTO DE PRESERVACAO E DESENVOLVIMENTO IPD,26.001.891/0001-94,2,1,"R$ 178.472,48",178472.48,"R$ 180.000,00",180000.0,26001891000194
38,LABORATORIO DE ANALISES CLINICAS ALITHEIA LTDA,29.725.773/0001-17,3,1,"R$ 175.188,59",175188.59,"R$ 180.000,00",180000.0,29725773000117
39,THALES AUGUSTO DE CASTRO,35.793.098/0001-66,7,3,"R$ 156.885,07",156885.07,"R$ 353.337,18",353337.18,35793098000166
40,ASSOCIACAO CASA LAR DE MUZAMBINHO,10.418.198/0001-81,1,0,"R$ 156.000,00",156000.0,"R$ 156.000,00",156000.0,10418198000181
41,CLINICA MEDICA RVM LTDA,52.659.883/0001-40,2,1,"R$ 155.555,40",155555.4,"R$ 172.492,32",172492.32,52659883000140
42,FERREIRA TRANSPORTE ESCOLAR LTDA,35.863.674/0001-02,5,2,"R$ 147.372,92",147372.92,"R$ 262.274,27",262274.27,35863674000102
43,PIXEL DIAGNOSTICO POR IMAGEM S/S LTDA,25.640.277/0001-00,2,0,"R$ 143.365,68",143365.68,"R$ 143.365,68",143365.68,25640277000100
44,IMEDIA-INST.DE MEDICINA DIAG. DE ALFENAS LTDA,11.203.475/0001-00,2,0,"R$ 143.365,68",143365.68,"R$ 143.365,68",143365.68,11203475000100
45,GUSTAVO MORAES SANTOS-ME,49.266.509/0001-70,1,0,"R$ 130.857,00",130857.0,"R$ 130.857,00",130857.0,49266509000170
46,EMATER,19.198.118/0001-02,2,0,"R$ 118.994,72",118994.72,"R$ 118.994,72",118994.72,19198118000102
47,JMP TRANSPORTES LTDA,09.426.609/0001-00,7,3,"R$ 112.973,17",112973.17,"R$ 121.817,49",121817.49,09426609000100
48,DIRETRIZ INFORMATICA EIRELI,22.493.902/0001-40,5,0,"R$ 105.800,00",105800.0,"R$ 105.800,00",105800.0,22493902000140
49,SERRALHERIA SOUZA & SOUZA LTDA,30.364.777/0001-04,1,0,"R$ 103.136,72",103136.72,"R$ 103.136,72",103136.72,30364777000104
50,VIDA ANIMAL VETERINARIA LTDA,03.828.461/0001-45,2,0,"R$ 100.130,00",100130.0,"R$ 100.130,00",100130.0,03828461000145
