Rank,Nome,CNPJ/CPF,Valor Empenhado,Valor Em Liquidação,Valor Liquidado,Valor Pago,Valor Anulado,_valor
1,FOLHA DE PAGAMENTO,46.435.921/0001-88,"R$ 9.439.231,14","R$ 0,00","R$ 8.827.719,19","R$ 8.637.190,07","R$ 227.833,64",9439231.14
2,INSTITUTO  PREVID.DO MUNIC.DE DIVINOLANDIA,05.119.717/0001-70,"R$ 7.235.391,22","R$ 0,00","R$ 2.157.288,51","R$ 2.764.727,10","R$ 1.110.409,05",7235391.22
3,LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI,12.039.966/0001-11,"R$ 2.243.651,59","R$ 0,00","R$ 750.159,89","R$ 999.642,40","R$ 199.144,87",2243651.59
4,CONDERG-CONS.DES.R.GOV.S.J.B.V.-,52.356.268/0002-45,"R$ 1.670.337,46","R$ 0,00","R$ 1.093.173,00","R$ 1.009.217,74","R$ 0,00",1670337.46
5,VEROCHEQUE REFEIÇOES LTDA,06.344.497/0001-41,"R$ 1.631.521,20","R$ 0,00","R$ 1.635.515,30","R$ 1.726.852,25","R$ 0,00",1631521.2
6,INSTITUTO NACIONAL DO SEGURO SOCIAL,29.979.036/0001-40,"R$ 607.550,94","R$ 0,00","R$ 420.112,23","R$ 597.173,92","R$ 0,00",607550.94
7,SAO PAULO TRIBUNAL DE JUSTICA,51.174.001/0001-93,"R$ 509.496,20","R$ 0,00","R$ 293.277,13","R$ 242.582,50","R$ 0,00",509496.2
8,TRANSER CENTRO DE GERENCIAMENTO DE RESIDUOS LTDA M,17.712.643/0001-60,"R$ 439.078,98","R$ 0,00","R$ 525.685,94","R$ 615.355,92","R$ 0,00",439078.98
9,MINISTERIO DA FAZENDA - Secr. Rec. Federal Brasil,00.394.460/0058-87,"R$ 400.000,00","R$ 0,00","R$ 262.885,50","R$ 156.452,07","R$ 0,00",400000.0
10,COMERCIAL GERMANICA LIMITADA,02.952.561/0004-69,"R$ 386.400,00","R$ 0,00","R$ 386.400,00","R$ 193.740,00","R$ 0,00",386400.0
11,GOVERNANÇABRASIL S/A TECNOLOGIA E GESTÃO EM SERVIÇ,00.165.960/0001-01,"R$ 385.410,00","R$ 0,00","R$ 409.115,49","R$ 462.190,98","R$ 0,00",385410.0
12,BANCO BRADESCO S/A.-,00.000.000/0002-96,"R$ 379.922,69","R$ 0,00","R$ 0,00","R$ 319.666,08","R$ 0,00",379922.69
13,PONTUAL FARMACEUTICA NR 2006 LTDA,07.724.173/0004-44,"R$ 330.516,45","R$ 0,00","R$ 66.103,29","R$ 44.068,86","R$ 0,00",330516.45
14,LAR DE IDOSOS SÃO VICENTE DE PAULO,44.840.411/0001-60,"R$ 241.600,00","R$ 0,00","R$ 228.048,25","R$ 128.048,25","R$ 0,00",241600.0
15,CONFIATTA CONSULTORIA E GESTAO LTDA EPP,08.496.850/0001-34,"R$ 228.000,00","R$ 0,00","R$ 95.000,00","R$ 95.000,00","R$ 0,00",228000.0
16,CAIQUE TRANSPORTES LTDA,09.293.354/0001-46,"R$ 214.933,84","R$ 0,00","R$ 125.194,72","R$ 141.497,46","R$ 0,00",214933.84
